x,y,f,m
4.609375,2.1176649291452778625912708284662585e8,41.43879934351407595777271437264966,38
4.625,2.4376523730078143135351782034367477e8,41.727794047950152434204778986955965,38
4.640625,2.8073993353555180322407597491621251e8,42.017760098021030624782565181004118,38
4.65625,3.2348523248663720344925734873255623e8,42.30869758611038160063161062057342,38
4.671875,3.7292588220005250267591340054709898e8,42.600606602384340406789595512659935,38
4.6875,4.3013852985823575049959409070468874e8,42.893487234861365916852176127051003,39
4.703125,4.9637725873828143181667194307755789e8,43.187339569479331525075843410678964,38
4.71875,5.7310351353238284859980623722480896e8,43.482163690159974966155955215244346,39
4.734375,6.6202118397779377838481215713783565e8,43.777959678870829334255757282038893,39
4.75,7.6511775453005272951384512485614397e8,44.07472761568475141742878350439838,39
4.765625,8.8471259072700663055303803279799074e8,44.372467578837157766879294693620148,39
4.78125,1.0235136255981585111687778066507035e9,44.671179644781073477198728726292286,39
4.796875,1.1846839375214028962221754232472922e9,44.970863888240093457735598836312865,39
4.8125,1.3719199809155276346012811361773168e9,45.271520382259351019952200694076709,39
4.828125,1.5895435509334444117319045586108854e9,45.573149198254583883880277450806543,39
4.84375,1.842609942234735493003692824540964e9,45.87575040605938321113940056535158,39
4.859375,2.1370352110983210126221426769626947e9,46.179324073970706994694854459040359,39
4.875,2.4797459828496257568430517164309703e9,46.483870268792735068697267449898106,39
4.890625,2.8788558786302984152542587601736017e9,46.789389055879139137350894669050697,40
4.90625,3.3438733857837824121221941687332653e9,47.095880499173837551747815850324488,40
4.921875,3.8859468870562725612849425459469526e9,47.403344661250301079942860260941462,40
4.9375,4.5181536222606587609946384175521973e9,47.711781603349472610252834405756882,40
4.953125,5.2558406140688337130480166177532648e9,48.021191385416360592970609359181005,40
4.96875,6.1170270854666125544392504535223016e9,48.331574066135363053653915314042168,41
4.984375,7.1228796758723544640290734871156048e9,48.642929702964376194309872733966598,40
5,8.29827388067680351614622319074692e9,48.955258352167738929767733411588234,41
5.015625,9.6724576604209176526973571135697668e9,49.26856006884806217813992343896267,40
5.03125,1.1279836169260707023126097550088109e10,49.582834906976989329563443372753553,41
