x=1, n=16, |dx| = 0.5
i,p_i,q_i
7,4.1129995868370556407297972610502784363608738009566814242816724877e-5,2.8581447319026634298027736477491694614153986299920967163663614716e-7
8,5.7162894638099427942319717501103987558449728424720927817429115110e-7,2.8546086108545894123273577652679934203416023906801472377558250812e-21
relative error = 2.1934945971e-34

x=11, n=7, |dx| = 0.5
i,p_i,q_i
0,2.1908323576924968878422058234028824255284387196507659113741642575e1,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,1.5472187131171511758159776492723317916652958173787532945981117964e1,6.1454772396411777660146862735884453964893504618950707072312927666e-1
2,4.6565662341757124542858445521079734887057564805881372444852865506e0,1.5624436183031977274539580363627112593772219935422835003406349676e-1
3,7.7428197971537544004106284192293577128012675837012347295609356741e-1,2.1036766839748984516607742136073918258508334376473074956042971970e-2
4,7.6827619108522660202177392851056764894621699656479453815202066872e-2,1.5820761989659632278829375932820754112148450623053957012389376151e-3
5,4.5494685933347262081234627746314313656065853636395015296835837037e-3,6.3016129465896432787665505177835166410027323700368099281516590993e-5
6,1.4888262167797582350571616633782024866720636541069018802447975253e-4,1.0386528521068865494487172470239935320197094673972963250201724369e-6
7,2.0773057042185490464650041412736663078054668636558146960609219417e-6,2.9167880221973473297987941963502648939834923713055177506241574356e-20
relative error = 1.8868158372e-32

x=12, n=7, |dx| = 0.5
i,p_i,q_i
0,2.3916077648961088314509799451961350536537344166311638495822218496e1,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,1.5181406087745825353238015362707706273401777099110151508882486344e1,5.5085590610582976847814240242315748755441142399135175292789050675e-1
2,4.1116757176610545682604171520382544817738836217686939740760535959e0,1.2571711754039587462451235211149157304076693860321553206260849340e-1
3,6.1594472178628800305447367128481606060502036914555521516801971625e-1,1.5215688862698588523603365615124064125371547433211042625109181391e-2
4,5.5122703411883560873032050380553441610396189020872928356091841200e-2,1.0300711235469117953818364423694411412314641803509177621744360261e-3
5,2.9472059895804165499944121968815193588282867280186122776048127698e-3,3.6983915091335156757484060763487825698939414751694555904835158820e-5
